Id,Time,Machine,Component,Parameter,Value
4663,2024-08-11T03:20:18.454517Z,Dozer_1,Engine,Engine Oil Pressure,25.01
4664,2024-08-11T03:20:18.454517Z,Dozer_1,Engine,Engine Temperature,104.85
4665,2024-08-11T03:20:18.454517Z,Dozer_1,Engine,Engine Speed,1791.08
4666,2024-08-11T03:20:18.454517Z,Dozer_1,Fuel,Water Fuel,1783.72
4667,2024-08-11T03:20:18.454517Z,Dozer_1,Fuel,Fuel Temperature,399.28
4668,2024-08-11T03:20:18.454517Z,Dozer_1,Fuel,Fuel Level,1.09
4669,2024-08-11T03:20:18.454517Z,Dozer_1,Fuel,Fuel Pressure,29.99
4670,2024-08-11T03:20:18.454517Z,Dozer_1,Drive,Brake Control,0.78
4671,2024-08-11T03:20:18.454517Z,Dozer_1,Drive,Pedal Sensor,6.83
4672,2024-08-11T03:20:18.454517Z,Dozer_1,Drive,Transmission Pressure,203.22
4673,2024-08-11T03:20:18.454517Z,Dozer_1,Misc,Air Filter Pressure Drop,20.04
4674,2024-08-11T03:20:18.454517Z,Dozer_1,Misc,System Voltage,15.88
4675,2024-08-11T03:20:18.454517Z,Dozer_1,Misc,Exhaust Gas Temperature,362.55
4676,2024-08-11T03:20:18.454517Z,Dozer_1,Misc,Hydraulic Pump Rate,124.37
4677,2024-08-11T03:20:18.454517Z,Crawler_Loader_1,Engine,Engine Oil Pressure,24.99
4678,2024-08-11T03:20:18.454517Z,Crawler_Loader_1,Engine,Engine Temperature,104.82
4679,2024-08-11T03:20:18.454517Z,Crawler_Loader_1,Engine,Engine Speed,1795.66
4680,2024-08-11T03:20:18.454517Z,Crawler_Loader_1,Fuel,Water Fuel,1782.21
4681,2024-08-11T03:20:18.454517Z,Crawler_Loader_1,Fuel,Fuel Temperature,399.5
4682,2024-08-11T03:20:18.454517Z,Crawler_Loader_1,Fuel,Fuel Level,1.04
4683,2024-08-11T03:20:18.454517Z,Crawler_Loader_1,Fuel,Fuel Pressure,30.01
4684,2024-08-11T03:20:18.454517Z,Crawler_Loader_1,Drive,Brake Control,0.81
4685,2024-08-11T03:20:18.454517Z,Crawler_Loader_1,Drive,Pedal Sensor,6.82
4686,2024-08-11T03:20:18.454517Z,Crawler_Loader_1,Drive,Transmission Pressure,203.78
4687,2024-08-11T03:20:18.454517Z,Crawler_Loader_1,Misc,Air Filter Pressure Drop,20.03
4688,2024-08-11T03:20:18.454517Z,Crawler_Loader_1,Misc,System Voltage,15.88
4689,2024-08-11T03:20:18.454517Z,Crawler_Loader_1,Misc,Exhaust Gas Temperature,362.6
4690,2024-08-11T03:20:18.454517Z,Crawler_Loader_1,Misc,Hydraulic Pump Rate,124.04
4691,2024-08-11T03:20:19.457367Z,Excavator_1,Engine,Engine Oil Pressure,25.03
4692,2024-08-11T03:20:19.457367Z,Excavator_1,Engine,Engine Temperature,104.75
4693,2024-08-11T03:20:19.457367Z,Excavator_1,Engine,Engine Speed,1797.17
4694,2024-08-11T03:20:19.457367Z,Excavator_1,Fuel,Water Fuel,1782.03
4695,2024-08-11T03:20:19.457367Z,Excavator_1,Fuel,Fuel Temperature,399.53
4696,2024-08-11T03:20:19.457367Z,Excavator_1,Fuel,Fuel Level,1.0
4697,2024-08-11T03:20:19.457367Z,Excavator_1,Fuel,Fuel Pressure,30.09
4698,2024-08-11T03:20:19.457367Z,Excavator_1,Drive,Brake Control,0.83
4699,2024-08-11T03:20:19.457367Z,Excavator_1,Drive,Pedal Sensor,6.81
4700,2024-08-11T03:20:19.457367Z,Excavator_1,Drive,Transmission Pressure,203.53
4701,2024-08-11T03:20:19.457367Z,Excavator_1,Misc,Air Filter Pressure Drop,20.01
4702,2024-08-11T03:20:19.457367Z,Excavator_1,Misc,System Voltage,15.87
4703,2024-08-11T03:20:19.457367Z,Excavator_1,Misc,Exhaust Gas Temperature,362.76
4704,2024-08-11T03:20:19.457367Z,Excavator_1,Misc,Hydraulic Pump Rate,124.39
4705,2024-08-11T03:20:19.457367Z,Articulated_Truck_1,Engine,Engine Oil Pressure,25.01
4706,2024-08-11T03:20:19.457367Z,Articulated_Truck_1,Engine,Engine Temperature,104.67
4707,2024-08-11T03:20:19.457367Z,Articulated_Truck_1,Engine,Engine Speed,1800.74
4708,2024-08-11T03:20:19.457367Z,Articulated_Truck_1,Fuel,Water Fuel,1781.24
4709,2024-08-11T03:20:19.457367Z,Articulated_Truck_1,Fuel,Fuel Temperature,399.3
4710,2024-08-11T03:20:19.457367Z,Articulated_Truck_1,Fuel,Fuel Level,0.98
4711,2024-08-11T03:20:19.457367Z,Articulated_Truck_1,Fuel,Fuel Pressure,30.13
4712,2024-08-11T03:20:19.457367Z,Articulated_Truck_1,Drive,Brake Control,0.87
4713,2024-08-11T03:20:19.457367Z,Articulated_Truck_1,Drive,Pedal Sensor,6.8
4714,2024-08-11T03:20:19.457367Z,Articulated_Truck_1,Drive,Transmission Pressure,202.88
4715,2024-08-11T03:20:19.457367Z,Articulated_Truck_1,Misc,Air Filter Pressure Drop,20.0
4716,2024-08-11T03:20:19.457367Z,Articulated_Truck_1,Misc,System Voltage,15.87
4717,2024-08-11T03:20:19.457367Z,Articulated_Truck_1,Misc,Exhaust Gas Temperature,362.65
4718,2024-08-11T03:20:19.457367Z,Articulated_Truck_1,Misc,Hydraulic Pump Rate,123.99
4719,2024-08-11T03:20:19.457367Z,Backhoe_Loader_1,Engine,Engine Oil Pressure,25.0
4720,2024-08-11T03:20:19.457367Z,Backhoe_Loader_1,Engine,Engine Temperature,104.7
4721,2024-08-11T03:20:19.457367Z,Backhoe_Loader_1,Engine,Engine Speed,1792.92
4722,2024-08-11T03:20:19.457367Z,Backhoe_Loader_1,Fuel,Water Fuel,1783.39
4723,2024-08-11T03:20:19.457367Z,Backhoe_Loader_1,Fuel,Fuel Temperature,399.29
4724,2024-08-11T03:20:19.457367Z,Backhoe_Loader_1,Fuel,Fuel Level,0.99
4725,2024-08-11T03:20:19.457367Z,Backhoe_Loader_1,Fuel,Fuel Pressure,30.2
4726,2024-08-11T03:20:19.457367Z,Backhoe_Loader_1,Drive,Brake Control,0.88
4727,2024-08-11T03:20:19.457367Z,Backhoe_Loader_1,Drive,Pedal Sensor,6.78
4728,2024-08-11T03:20:19.457367Z,Backhoe_Loader_1,Drive,Transmission Pressure,202.14
4729,2024-08-11T03:20:19.457367Z,Backhoe_Loader_1,Misc,Air Filter Pressure Drop,19.97
4730,2024-08-11T03:20:19.457367Z,Backhoe_Loader_1,Misc,System Voltage,15.86
4731,2024-08-11T03:20:19.457367Z,Backhoe_Loader_1,Misc,Exhaust Gas Temperature,362.8
4732,2024-08-11T03:20:19.457367Z,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,123.99
4733,2024-08-11T03:20:19.457367Z,Dozer_1,Engine,Engine Oil Pressure,25.04
4734,2024-08-11T03:20:19.457367Z,Dozer_1,Engine,Engine Temperature,104.77
4735,2024-08-11T03:20:19.457367Z,Dozer_1,Engine,Engine Speed,1790.86
4736,2024-08-11T03:20:19.457367Z,Dozer_1,Fuel,Water Fuel,1783.01
4737,2024-08-11T03:20:19.457367Z,Dozer_1,Fuel,Fuel Temperature,399.37
4738,2024-08-11T03:20:19.457367Z,Dozer_1,Fuel,Fuel Level,1.07
4739,2024-08-11T03:20:19.457367Z,Dozer_1,Fuel,Fuel Pressure,30.23
4740,2024-08-11T03:20:19.457367Z,Dozer_1,Drive,Brake Control,0.93
4741,2024-08-11T03:20:19.457367Z,Dozer_1,Drive,Pedal Sensor,6.77
4742,2024-08-11T03:20:19.457367Z,Dozer_1,Drive,Transmission Pressure,201.77
4743,2024-08-11T03:20:19.457367Z,Dozer_1,Misc,Air Filter Pressure Drop,20.02
4744,2024-08-11T03:20:19.457367Z,Dozer_1,Misc,System Voltage,15.85
4745,2024-08-11T03:20:19.457367Z,Dozer_1,Misc,Exhaust Gas Temperature,362.42
4746,2024-08-11T03:20:19.457367Z,Dozer_1,Misc,Hydraulic Pump Rate,124.31
4747,2024-08-11T03:20:19.457367Z,Crawler_Loader_1,Engine,Engine Oil Pressure,25.05
4748,2024-08-11T03:20:19.457367Z,Crawler_Loader_1,Engine,Engine Temperature,104.6
4749,2024-08-11T03:20:19.457367Z,Crawler_Loader_1,Engine,Engine Speed,1791.15
4750,2024-08-11T03:20:19.457367Z,Crawler_Loader_1,Fuel,Water Fuel,1785.5
4751,2024-08-11T03:20:19.457367Z,Crawler_Loader_1,Fuel,Fuel Temperature,399.56
4752,2024-08-11T03:20:19.457367Z,Crawler_Loader_1,Fuel,Fuel Level,1.11
4753,2024-08-11T03:20:19.457367Z,Crawler_Loader_1,Fuel,Fuel Pressure,30.32
4754,2024-08-11T03:20:19.457367Z,Crawler_Loader_1,Drive,Brake Control,0.96
4755,2024-08-11T03:20:19.457367Z,Crawler_Loader_1,Drive,Pedal Sensor,6.76
4756,2024-08-11T03:20:19.457367Z,Crawler_Loader_1,Drive,Transmission Pressure,202.63
4757,2024-08-11T03:20:19.457367Z,Crawler_Loader_1,Misc,Air Filter Pressure Drop,20.03
4758,2024-08-11T03:20:19.457367Z,Crawler_Loader_1,Misc,System Voltage,15.85
4759,2024-08-11T03:20:19.457367Z,Crawler_Loader_1,Misc,Exhaust Gas Temperature,361.95
4760,2024-08-11T03:20:19.457367Z,Crawler_Loader_1,Misc,Hydraulic Pump Rate,124.71
4761,2024-08-11T03:20:20.473455Z,Excavator_1,Engine,Engine Oil Pressure,25.05
4762,2024-08-11T03:20:20.473455Z,Excavator_1,Engine,Engine Temperature,104.67
4763,2024-08-11T03:20:20.473455Z,Excavator_1,Engine,Engine Speed,1786.39
4764,2024-08-11T03:20:20.473455Z,Excavator_1,Fuel,Water Fuel,1785.12
4765,2024-08-11T03:20:20.473455Z,Excavator_1,Fuel,Fuel Temperature,399.41
4766,2024-08-11T03:20:20.473455Z,Excavator_1,Fuel,Fuel Level,1.1
4767,2024-08-11T03:20:20.473455Z,Excavator_1,Fuel,Fuel Pressure,30.34
4768,2024-08-11T03:20:20.473455Z,Excavator_1,Drive,Brake Control,1.0
4769,2024-08-11T03:20:20.473455Z,Excavator_1,Drive,Pedal Sensor,6.75
4770,2024-08-11T03:20:20.473455Z,Excavator_1,Drive,Transmission Pressure,201.68
4771,2024-08-11T03:20:20.473455Z,Excavator_1,Misc,Air Filter Pressure Drop,20.0
4772,2024-08-11T03:20:20.473455Z,Excavator_1,Misc,System Voltage,15.84
4773,2024-08-11T03:20:20.473455Z,Excavator_1,Misc,Exhaust Gas Temperature,362.28
4774,2024-08-11T03:20:20.473455Z,Excavator_1,Misc,Hydraulic Pump Rate,125.0
4775,2024-08-11T03:20:20.473455Z,Articulated_Truck_1,Engine,Engine Oil Pressure,25.1
4776,2024-08-11T03:20:20.473455Z,Articulated_Truck_1,Engine,Engine Temperature,104.44
4777,2024-08-11T03:20:20.473455Z,Articulated_Truck_1,Engine,Engine Speed,1788.36
4778,2024-08-11T03:20:20.473455Z,Articulated_Truck_1,Fuel,Water Fuel,1787.21
4779,2024-08-11T03:20:20.473455Z,Articulated_Truck_1,Fuel,Fuel Temperature,399.17
4780,2024-08-11T03:20:20.473455Z,Articulated_Truck_1,Fuel,Fuel Level,1.11
4781,2024-08-11T03:20:20.473455Z,Articulated_Truck_1,Fuel,Fuel Pressure,30.41
4782,2024-08-11T03:20:20.473455Z,Articulated_Truck_1,Drive,Brake Control,1.03
4783,2024-08-11T03:20:20.473455Z,Articulated_Truck_1,Drive,Pedal Sensor,6.74
4784,2024-08-11T03:20:20.473455Z,Articulated_Truck_1,Drive,Transmission Pressure,200.87
4785,2024-08-11T03:20:20.473455Z,Articulated_Truck_1,Misc,Air Filter Pressure Drop,20.01
4786,2024-08-11T03:20:20.473455Z,Articulated_Truck_1,Misc,System Voltage,15.83
4787,2024-08-11T03:20:20.473455Z,Articulated_Truck_1,Misc,Exhaust Gas Temperature,361.93
4788,2024-08-11T03:20:20.473455Z,Articulated_Truck_1,Misc,Hydraulic Pump Rate,124.85
4789,2024-08-11T03:20:20.473455Z,Backhoe_Loader_1,Engine,Engine Oil Pressure,25.11
4790,2024-08-11T03:20:20.473455Z,Backhoe_Loader_1,Engine,Engine Temperature,104.33
4791,2024-08-11T03:20:20.473455Z,Backhoe_Loader_1,Engine,Engine Speed,1791.87
4792,2024-08-11T03:20:20.473455Z,Backhoe_Loader_1,Fuel,Water Fuel,1785.29
4793,2024-08-11T03:20:20.473455Z,Backhoe_Loader_1,Fuel,Fuel Temperature,399.25
4794,2024-08-11T03:20:20.473455Z,Backhoe_Loader_1,Fuel,Fuel Level,1.1
4795,2024-08-11T03:20:20.473455Z,Backhoe_Loader_1,Fuel,Fuel Pressure,30.47
4796,2024-08-11T03:20:20.473455Z,Backhoe_Loader_1,Drive,Brake Control,1.02
4797,2024-08-11T03:20:20.473455Z,Backhoe_Loader_1,Drive,Pedal Sensor,6.73
4798,2024-08-11T03:20:20.473455Z,Backhoe_Loader_1,Drive,Transmission Pressure,201.75
4799,2024-08-11T03:20:20.473455Z,Backhoe_Loader_1,Misc,Air Filter Pressure Drop,19.99
4800,2024-08-11T03:20:20.473455Z,Backhoe_Loader_1,Misc,System Voltage,15.82
4801,2024-08-11T03:20:20.473455Z,Backhoe_Loader_1,Misc,Exhaust Gas Temperature,362.16
4802,2024-08-11T03:20:20.473455Z,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,124.96
4803,2024-08-11T03:20:20.473455Z,Dozer_1,Engine,Engine Oil Pressure,25.15
4804,2024-08-11T03:20:20.473455Z,Dozer_1,Engine,Engine Temperature,104.12
4805,2024-08-11T03:20:20.473455Z,Dozer_1,Engine,Engine Speed,1795.75
4806,2024-08-11T03:20:20.473455Z,Dozer_1,Fuel,Water Fuel,1786.78
4807,2024-08-11T03:20:20.473455Z,Dozer_1,Fuel,Fuel Temperature,399.09
4808,2024-08-11T03:20:20.473455Z,Dozer_1,Fuel,Fuel Level,1.12
4809,2024-08-11T03:20:20.473455Z,Dozer_1,Fuel,Fuel Pressure,30.53
4810,2024-08-11T03:20:20.473455Z,Dozer_1,Drive,Brake Control,1.01
4811,2024-08-11T03:20:20.473455Z,Dozer_1,Drive,Pedal Sensor,6.73
4812,2024-08-11T03:20:20.473455Z,Dozer_1,Drive,Transmission Pressure,202.65
4813,2024-08-11T03:20:20.473455Z,Dozer_1,Misc,Air Filter Pressure Drop,20.07
4814,2024-08-11T03:20:20.473455Z,Dozer_1,Misc,System Voltage,15.81
4815,2024-08-11T03:20:20.473455Z,Dozer_1,Misc,Exhaust Gas Temperature,361.76
4816,2024-08-11T03:20:20.473455Z,Dozer_1,Misc,Hydraulic Pump Rate,125.23
4817,2024-08-11T03:20:20.473455Z,Crawler_Loader_1,Engine,Engine Oil Pressure,25.11
4818,2024-08-11T03:20:20.473455Z,Crawler_Loader_1,Engine,Engine Temperature,104.25
4819,2024-08-11T03:20:20.473455Z,Crawler_Loader_1,Engine,Engine Speed,1794.19
4820,2024-08-11T03:20:20.473455Z,Crawler_Loader_1,Fuel,Water Fuel,1784.38
4821,2024-08-11T03:20:20.473455Z,Crawler_Loader_1,Fuel,Fuel Temperature,398.89
4822,2024-08-11T03:20:20.473455Z,Crawler_Loader_1,Fuel,Fuel Level,1.16
4823,2024-08-11T03:20:20.473455Z,Crawler_Loader_1,Fuel,Fuel Pressure,30.62
4824,2024-08-11T03:20:20.473455Z,Crawler_Loader_1,Drive,Brake Control,1.01
4825,2024-08-11T03:20:20.473455Z,Crawler_Loader_1,Drive,Pedal Sensor,6.71
4826,2024-08-11T03:20:20.473455Z,Crawler_Loader_1,Drive,Transmission Pressure,203.65
4827,2024-08-11T03:20:20.473455Z,Crawler_Loader_1,Misc,Air Filter Pressure Drop,20.11
4828,2024-08-11T03:20:20.473455Z,Crawler_Loader_1,Misc,System Voltage,15.81
4829,2024-08-11T03:20:20.473455Z,Crawler_Loader_1,Misc,Exhaust Gas Temperature,361.38
4830,2024-08-11T03:20:20.473455Z,Crawler_Loader_1,Misc,Hydraulic Pump Rate,125.06
4831,2024-08-11T03:20:21.488337Z,Excavator_1,Engine,Engine Oil Pressure,25.13
4832,2024-08-11T03:20:21.488337Z,Excavator_1,Engine,Engine Temperature,104.04
4833,2024-08-11T03:20:21.488337Z,Excavator_1,Engine,Engine Speed,1790.66
4834,2024-08-11T03:20:21.488337Z,Excavator_1,Fuel,Water Fuel,1786.03
4835,2024-08-11T03:20:21.488337Z,Excavator_1,Fuel,Fuel Temperature,399.14
4836,2024-08-11T03:20:21.488337Z,Excavator_1,Fuel,Fuel Level,1.2
4837,2024-08-11T03:20:21.488337Z,Excavator_1,Fuel,Fuel Pressure,30.71
4838,2024-08-11T03:20:21.488337Z,Excavator_1,Drive,Brake Control,1.02
4839,2024-08-11T03:20:21.488337Z,Excavator_1,Drive,Pedal Sensor,6.71
4840,2024-08-11T03:20:21.488337Z,Excavator_1,Drive,Transmission Pressure,203.19
4841,2024-08-11T03:20:21.488337Z,Excavator_1,Misc,Air Filter Pressure Drop,20.1
4842,2024-08-11T03:20:21.488337Z,Excavator_1,Misc,System Voltage,15.8
4843,2024-08-11T03:20:21.488337Z,Excavator_1,Misc,Exhaust Gas Temperature,361.53
4844,2024-08-11T03:20:21.488337Z,Excavator_1,Misc,Hydraulic Pump Rate,124.85
4845,2024-08-11T03:20:21.488337Z,Articulated_Truck_1,Engine,Engine Oil Pressure,25.14
4846,2024-08-11T03:20:21.488337Z,Articulated_Truck_1,Engine,Engine Temperature,103.97
4847,2024-08-11T03:20:21.488337Z,Articulated_Truck_1,Engine,Engine Speed,1789.72
4848,2024-08-11T03:20:21.488337Z,Articulated_Truck_1,Fuel,Water Fuel,1786.67
4849,2024-08-11T03:20:21.488337Z,Articulated_Truck_1,Fuel,Fuel Temperature,399.01
4850,2024-08-11T03:20:21.488337Z,Articulated_Truck_1,Fuel,Fuel Level,1.16
4851,2024-08-11T03:20:21.488337Z,Articulated_Truck_1,Fuel,Fuel Pressure,30.73
4852,2024-08-11T03:20:21.488337Z,Articulated_Truck_1,Drive,Brake Control,1.02
4853,2024-08-11T03:20:21.488337Z,Articulated_Truck_1,Drive,Pedal Sensor,6.7
4854,2024-08-11T03:20:21.488337Z,Articulated_Truck_1,Drive,Transmission Pressure,203.71
4855,2024-08-11T03:20:21.488337Z,Articulated_Truck_1,Misc,Air Filter Pressure Drop,20.1
4856,2024-08-11T03:20:21.488337Z,Articulated_Truck_1,Misc,System Voltage,15.79
4857,2024-08-11T03:20:21.488337Z,Articulated_Truck_1,Misc,Exhaust Gas Temperature,361.28
4858,2024-08-11T03:20:21.488337Z,Articulated_Truck_1,Misc,Hydraulic Pump Rate,125.16
4859,2024-08-11T03:20:21.488337Z,Backhoe_Loader_1,Engine,Engine Oil Pressure,25.16
4860,2024-08-11T03:20:21.488337Z,Backhoe_Loader_1,Engine,Engine Temperature,103.87
4861,2024-08-11T03:20:21.488337Z,Backhoe_Loader_1,Engine,Engine Speed,1786.41
4862,2024-08-11T03:20:21.488337Z,Backhoe_Loader_1,Fuel,Water Fuel,1786.43
4863,2024-08-11T03:20:21.488337Z,Backhoe_Loader_1,Fuel,Fuel Temperature,399.1
4864,2024-08-11T03:20:21.488337Z,Backhoe_Loader_1,Fuel,Fuel Level,1.17
4865,2024-08-11T03:20:21.488337Z,Backhoe_Loader_1,Fuel,Fuel Pressure,30.81
4866,2024-08-11T03:20:21.488337Z,Backhoe_Loader_1,Drive,Brake Control,1.01
4867,2024-08-11T03:20:21.488337Z,Backhoe_Loader_1,Drive,Pedal Sensor,6.69
4868,2024-08-11T03:20:21.488337Z,Backhoe_Loader_1,Drive,Transmission Pressure,203.55
4869,2024-08-11T03:20:21.488337Z,Backhoe_Loader_1,Misc,Air Filter Pressure Drop,20.1
4870,2024-08-11T03:20:21.488337Z,Backhoe_Loader_1,Misc,System Voltage,15.79
4871,2024-08-11T03:20:21.488337Z,Backhoe_Loader_1,Misc,Exhaust Gas Temperature,361.48
4872,2024-08-11T03:20:21.488337Z,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,124.83
4873,2024-08-11T03:20:21.488337Z,Dozer_1,Engine,Engine Oil Pressure,25.19
4874,2024-08-11T03:20:21.488337Z,Dozer_1,Engine,Engine Temperature,103.67
4875,2024-08-11T03:20:21.488337Z,Dozer_1,Engine,Engine Speed,1782.31
4876,2024-08-11T03:20:21.488337Z,Dozer_1,Fuel,Water Fuel,1787.92
4877,2024-08-11T03:20:21.488337Z,Dozer_1,Fuel,Fuel Temperature,398.9
4878,2024-08-11T03:20:21.488337Z,Dozer_1,Fuel,Fuel Level,1.15
4879,2024-08-11T03:20:21.488337Z,Dozer_1,Fuel,Fuel Pressure,30.82
4880,2024-08-11T03:20:21.488337Z,Dozer_1,Drive,Brake Control,1.02
4881,2024-08-11T03:20:21.488337Z,Dozer_1,Drive,Pedal Sensor,6.68
4882,2024-08-11T03:20:21.488337Z,Dozer_1,Drive,Transmission Pressure,202.84
4883,2024-08-11T03:20:21.488337Z,Dozer_1,Misc,Air Filter Pressure Drop,20.07
4884,2024-08-11T03:20:21.488337Z,Dozer_1,Misc,System Voltage,15.78
4885,2024-08-11T03:20:21.488337Z,Dozer_1,Misc,Exhaust Gas Temperature,361.32
4886,2024-08-11T03:20:21.488337Z,Dozer_1,Misc,Hydraulic Pump Rate,124.42
4887,2024-08-11T03:20:21.488337Z,Crawler_Loader_1,Engine,Engine Oil Pressure,25.21
4888,2024-08-11T03:20:21.488337Z,Crawler_Loader_1,Engine,Engine Temperature,103.44
4889,2024-08-11T03:20:21.488337Z,Crawler_Loader_1,Engine,Engine Speed,1778.94
4890,2024-08-11T03:20:21.488337Z,Crawler_Loader_1,Fuel,Water Fuel,1785.61
4891,2024-08-11T03:20:21.488337Z,Crawler_Loader_1,Fuel,Fuel Temperature,398.81
4892,2024-08-11T03:20:21.488337Z,Crawler_Loader_1,Fuel,Fuel Level,1.1
4893,2024-08-11T03:20:21.488337Z,Crawler_Loader_1,Fuel,Fuel Pressure,30.88
4894,2024-08-11T03:20:21.488337Z,Crawler_Loader_1,Drive,Brake Control,1.04
4895,2024-08-11T03:20:21.488337Z,Crawler_Loader_1,Drive,Pedal Sensor,6.67
4896,2024-08-11T03:20:21.488337Z,Crawler_Loader_1,Drive,Transmission Pressure,203.51
4897,2024-08-11T03:20:21.488337Z,Crawler_Loader_1,Misc,Air Filter Pressure Drop,20.06
4898,2024-08-11T03:20:21.488337Z,Crawler_Loader_1,Misc,System Voltage,15.78
4899,2024-08-11T03:20:21.488337Z,Crawler_Loader_1,Misc,Exhaust Gas Temperature,360.99
4900,2024-08-11T03:20:21.488337Z,Crawler_Loader_1,Misc,Hydraulic Pump Rate,124.18
4901,2024-08-11T03:20:22.493257Z,Excavator_1,Engine,Engine Oil Pressure,25.17
4902,2024-08-11T03:20:22.493257Z,Excavator_1,Engine,Engine Temperature,103.45
4903,2024-08-11T03:20:22.493257Z,Excavator_1,Engine,Engine Speed,1779.24
4904,2024-08-11T03:20:22.493257Z,Excavator_1,Fuel,Water Fuel,1786.41
4905,2024-08-11T03:20:22.493257Z,Excavator_1,Fuel,Fuel Temperature,399.0
4906,2024-08-11T03:20:22.493257Z,Excavator_1,Fuel,Fuel Level,1.05
4907,2024-08-11T03:20:22.493257Z,Excavator_1,Fuel,Fuel Pressure,30.89
4908,2024-08-11T03:20:22.493257Z,Excavator_1,Drive,Brake Control,1.04
4909,2024-08-11T03:20:22.493257Z,Excavator_1,Drive,Pedal Sensor,6.66
4910,2024-08-11T03:20:22.493257Z,Excavator_1,Drive,Transmission Pressure,203.01
4911,2024-08-11T03:20:22.493257Z,Excavator_1,Misc,Air Filter Pressure Drop,20.08
4912,2024-08-11T03:20:22.493257Z,Excavator_1,Misc,System Voltage,15.77
4913,2024-08-11T03:20:22.493257Z,Excavator_1,Misc,Exhaust Gas Temperature,361.2
4914,2024-08-11T03:20:22.493257Z,Excavator_1,Misc,Hydraulic Pump Rate,124.35
4915,2024-08-11T03:20:22.493257Z,Articulated_Truck_1,Engine,Engine Oil Pressure,25.2
4916,2024-08-11T03:20:22.493257Z,Articulated_Truck_1,Engine,Engine Temperature,103.23
4917,2024-08-11T03:20:22.493257Z,Articulated_Truck_1,Engine,Engine Speed,1783.69
4918,2024-08-11T03:20:22.493257Z,Articulated_Truck_1,Fuel,Water Fuel,1784.14
4919,2024-08-11T03:20:22.493257Z,Articulated_Truck_1,Fuel,Fuel Temperature,399.02
4920,2024-08-11T03:20:22.493257Z,Articulated_Truck_1,Fuel,Fuel Level,1.03
4921,2024-08-11T03:20:22.493257Z,Articulated_Truck_1,Fuel,Fuel Pressure,30.89
4922,2024-08-11T03:20:22.493257Z,Articulated_Truck_1,Drive,Brake Control,1.04
4923,2024-08-11T03:20:22.493257Z,Articulated_Truck_1,Drive,Pedal Sensor,6.66
4924,2024-08-11T03:20:22.493257Z,Articulated_Truck_1,Drive,Transmission Pressure,203.84
4925,2024-08-11T03:20:22.493257Z,Articulated_Truck_1,Misc,Air Filter Pressure Drop,20.13
4926,2024-08-11T03:20:22.493257Z,Articulated_Truck_1,Misc,System Voltage,15.77
4927,2024-08-11T03:20:22.493257Z,Articulated_Truck_1,Misc,Exhaust Gas Temperature,360.85
4928,2024-08-11T03:20:22.493257Z,Articulated_Truck_1,Misc,Hydraulic Pump Rate,124.45
4929,2024-08-11T03:20:22.493257Z,Backhoe_Loader_1,Engine,Engine Oil Pressure,25.23
4930,2024-08-11T03:20:22.493257Z,Backhoe_Loader_1,Engine,Engine Temperature,103.1
4931,2024-08-11T03:20:22.493257Z,Backhoe_Loader_1,Engine,Engine Speed,1781.87
4932,2024-08-11T03:20:22.493257Z,Backhoe_Loader_1,Fuel,Water Fuel,1785.63
4933,2024-08-11T03:20:22.493257Z,Backhoe_Loader_1,Fuel,Fuel Temperature,398.94
4934,2024-08-11T03:20:22.493257Z,Backhoe_Loader_1,Fuel,Fuel Level,0.99
4935,2024-08-11T03:20:22.493257Z,Backhoe_Loader_1,Fuel,Fuel Pressure,30.9
4936,2024-08-11T03:20:22.493257Z,Backhoe_Loader_1,Drive,Brake Control,1.03
4937,2024-08-11T03:20:22.493257Z,Backhoe_Loader_1,Drive,Pedal Sensor,6.65
4938,2024-08-11T03:20:22.493257Z,Backhoe_Loader_1,Drive,Transmission Pressure,203.61
4939,2024-08-11T03:20:22.493257Z,Backhoe_Loader_1,Misc,Air Filter Pressure Drop,20.08
4940,2024-08-11T03:20:22.493257Z,Backhoe_Loader_1,Misc,System Voltage,15.76
4941,2024-08-11T03:20:22.493257Z,Backhoe_Loader_1,Misc,Exhaust Gas Temperature,360.38
4942,2024-08-11T03:20:22.493257Z,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,124.91
4943,2024-08-11T03:20:22.493257Z,Dozer_1,Engine,Engine Oil Pressure,25.19
4944,2024-08-11T03:20:22.493257Z,Dozer_1,Engine,Engine Temperature,102.88
4945,2024-08-11T03:20:22.493257Z,Dozer_1,Engine,Engine Speed,1782.07
4946,2024-08-11T03:20:22.493257Z,Dozer_1,Fuel,Water Fuel,1786.8
4947,2024-08-11T03:20:22.493257Z,Dozer_1,Fuel,Fuel Temperature,398.96
4948,2024-08-11T03:20:22.493257Z,Dozer_1,Fuel,Fuel Level,1.03
4949,2024-08-11T03:20:22.493257Z,Dozer_1,Fuel,Fuel Pressure,30.98
4950,2024-08-11T03:20:22.493257Z,Dozer_1,Drive,Brake Control,1.02
4951,2024-08-11T03:20:22.493257Z,Dozer_1,Drive,Pedal Sensor,6.64
4952,2024-08-11T03:20:22.493257Z,Dozer_1,Drive,Transmission Pressure,203.28
4953,2024-08-11T03:20:22.493257Z,Dozer_1,Misc,Air Filter Pressure Drop,20.04
